precision_bits,layer_name,mae,rmse,cosine_similarity,kl_divergence
10,model.layers.10.mlp.input,0.04365360736846924,0.0583176352083683,0.9983164072036743,0.02384268492460251
10,model.layers.10.mlp.output,0.0014950089389458299,0.002001325599849224,0.9964616298675537,2.0562474674079567e-05
10,model.layers.10.mlp.up_proj.input,0.04365360736846924,0.0583176352083683,0.9983164072036743,0.02384268492460251
10,model.layers.10.mlp.up_proj.output,0.012465156614780426,0.016218163073062897,0.9980394244194031,0.0013503250665962696
10,model.layers.10.output,0.004060843959450722,0.005998315289616585,0.9989206790924072,0.00016784116451162845
10,model.layers.10.post_attention_layernorm.input,0.004130799788981676,0.0059943851083517075,0.9987838268280029,0.0001691914803814143
10,model.layers.10.post_attention_layernorm.output,0.04365360736846924,0.0583176352083683,0.9983164072036743,0.02384268492460251
10,model.layers.11.input,0.004060843959450722,0.005998315289616585,0.9989206790924072,0.00016784116451162845
10,model.layers.11.input_layernorm.input,0.004060843959450722,0.005998315289616585,0.9989206790924072,0.00016784116451162845
10,model.layers.11.input_layernorm.output,0.04397406801581383,0.05907751992344856,0.998692512512207,0.02217734605073929
10,model.layers.11.mlp.act_fn.input,0.01700557954609394,0.02304733917117119,0.9993406534194946,0.0025482894852757454
10,model.layers.11.mlp.act_fn.output,0.005943808704614639,0.009106304496526718,0.9989306926727295,0.000709856569301337
10,model.layers.11.mlp.down_proj.input,0.0025429418310523033,0.004149950575083494,0.9967535138130188,0.00010445932275615633
10,model.layers.11.mlp.down_proj.output,0.0016518037300556898,0.002274710452184081,0.99717116355896,2.684057835722342e-05
10,model.layers.11.mlp.gate_proj.input,0.04587043821811676,0.06077491492033005,0.9982627630233765,0.02477017045021057
10,model.layers.11.mlp.gate_proj.output,0.01700557954609394,0.02304733917117119,0.9993406534194946,0.0025482894852757454
10,model.layers.11.mlp.input,0.04587043821811676,0.06077491492033005,0.9982627630233765,0.02477017045021057
10,model.layers.11.mlp.output,0.0016518037300556898,0.002274710452184081,0.99717116355896,2.684057835722342e-05
10,model.layers.11.mlp.up_proj.input,0.04587043821811676,0.06077491492033005,0.9982627630233765,0.02477017045021057
10,model.layers.11.mlp.up_proj.output,0.012833409011363983,0.01664089970290661,0.9978711009025574,0.00139008485712111
10,model.layers.11.output,0.003961939364671707,0.005655877757817507,0.9980728626251221,0.00015476852422580123
10,model.layers.11.post_attention_layernorm.input,0.004108346067368984,0.005913525354117155,0.998295783996582,0.00016467513341922313
10,model.layers.11.post_attention_layernorm.output,0.04587043821811676,0.06077491492033005,0.9982627630233765,0.02477017045021057
10,model.layers.11.self_attn.k_norm.input,0.017490465193986893,0.02431492879986763,0.9992846846580505,0.0064291455782949924
10,model.layers.11.self_attn.k_norm.output,0.05345684289932251,0.07422385364770889,0.998924732208252,0.05817034840583801
10,model.layers.11.self_attn.k_proj.input,0.04397406801581383,0.05907751992344856,0.998692512512207,0.02217734605073929
10,model.layers.11.self_attn.k_proj.output,0.017490465193986893,0.02431492879986763,0.9992846846580505,0.0030223634093999863
10,model.layers.11.self_attn.o_proj.input,0.0023881166707724333,0.004095869138836861,0.9987677335739136,9.564001811668277e-05
